Device Name,WEATHER - 2562920,,,,,,,,,,,,,,,,,,,,,,,,,
Device Model,5500L,,,,,,,,,,,,,,,,,,,,,,,,,
Serial Number,2562920,,,,,,,,,,,,,,,,,,,,,,,,,
FORMATTED DATE_TIME,Temperature,Wet Bulb Temp,Relative Humidity,Barometric Pressure,Altitude,Station Pressure,Wind Speed,Heat Index,Dew Point,Density Altitude,Crosswind,Headwind,Compass Magnetic Direction,Compass True Direction,Wind Chill,,,,,,,,,,,
"MMM d, yyyy HH:mm:ss",°F,°F,%,inHg,ft,inHg,mph,°F,°F,ft,mph,mph,Deg,Deg,°F,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes,,,
9/7/2021 15:56,90.9,82.2,69.4,29.85,54,29.85,0,109.9,79.4,2532,0,0,247,247,90.9,point,,,,,,,,,,
9/7/2021 15:56,89,79.9,67.5,29.85,51,29.86,0.9,102.9,76.8,2384,0.9,0.1,273,273,88.9,point,,,,,,,,,,
9/7/2021 15:57,87.9,79,67.6,29.85,54,29.86,1.4,99.9,75.9,2306,1.4,0.1,273,273,87.8,point,,,,,,,,,,
9/7/2021 15:57,88.7,80.2,69.8,29.85,54,29.86,0,103.1,77.6,2372,0,0,273,273,88.5,point,,,,,,,,,,
9/7/2021 15:58,89.4,80.8,69,29.85,54,29.85,0,104.9,77.9,2424,0,0,273,273,89.2,point,,,,,,,,,,
9/7/2021 15:58,89.1,79.7,66.8,29.85,54,29.86,0,102.9,76.6,2384,0,0,273,273,89.1,point,,,,,,,,,,
9/7/2021 15:59,88.8,79.3,66.4,29.85,51,29.86,1.6,101.7,76.1,2357,1.6,0.1,273,273,88.7,point,,,,mean temp,,mean WS,,mean HUM,,mean WD
9/7/2021 15:59,88.8,79.3,66.3,29.85,54,29.86,0,101.7,76.1,2354,0,0,273,273,88.7,point,,,,83.23061728,,0.075308642,,72.31765432,,247.5469136
9/7/2021 16:00,90.1,80.4,66.5,29.85,54,29.86,0,105.4,77.4,2457,0,0,273,273,90,point,,,,,,,,,,
9/7/2021 16:00,90.6,81,66.9,29.85,54,29.86,0,107.2,78.1,2494,0,0,273,274,90.5,point,,,,,,,,,,
9/7/2021 16:01,89.4,80.2,67.8,29.85,51,29.86,0,104.5,77.4,2414,0,0,272,273,89.4,point,,,,,,,,,,
9/7/2021 16:01,90.8,82,69.2,29.86,51,29.86,0,109.2,79.3,2522,0,0,272,273,90.7,point,,,,,,,,,,
9/7/2021 16:02,91.4,81.9,67.2,29.85,51,29.86,0,110.1,79,2557,0,0,273,273,91.4,point,,,,,,,,,,
9/7/2021 16:02,91.5,82.2,67.7,29.86,51,29.86,1,110.3,79.3,2567,1,0.1,273,273,91.4,point,,,,,,,,,,
9/7/2021 16:03,88,78.4,65.7,29.85,54,29.85,0,98.8,75,2299,0,0,272,273,87.8,point,,,,,,,,,,
9/7/2021 16:03,91,81.1,65.9,29.85,54,29.85,0,107.8,78,2519,0,0,273,273,90.9,point,,,,,,,,,,
9/7/2021 16:04,89.9,80.2,66.2,29.85,54,29.85,0,104.7,77.1,2444,0,0,272,273,89.8,point,,,,,,,,,,
9/7/2021 16:04,92.1,82.6,67.4,29.85,51,29.86,0,111.7,79.7,2607,0,0,273,273,91.9,point,,,,,,,,,,
9/7/2021 16:05,90.8,80.4,64.4,29.85,54,29.85,0,106.2,77.1,2494,0,0,273,273,90.7,point,,,,,,,,,,
9/7/2021 16:05,90.8,81.1,66.4,29.85,54,29.86,1.4,107.6,78,2502,1.4,0.1,273,274,90.7,point,,,,,,,,,,
9/7/2021 16:06,87.6,79,68.8,29.85,54,29.86,0,99.5,76.1,2286,0,0,273,273,87.4,point,,,,,,,,,,
9/7/2021 16:06,87.6,79.9,71.6,29.85,51,29.86,0,101.3,77.3,2304,0,0,272,273,87.6,point,,,,,,,,,,
